city,Number of Positions,Program Language,longitude,latitude
Sunshine Coast,0,Matlab,153.066667,-26.65
Sydney,30,Matlab,151.2092955,-33.8688197
ACT,2,Others,149.0123679,-35.4734679
Adelaide,3,Others,138.6007456,-34.9284989
Brisbane,16,Others,153.0260341,-27.4704528
Melbourne,37,Others,144.9630576,-37.8136276
"Newcastle, Maitland & Hunter",0,Others,151.7851862,-32.9187028
Northern QLD,0,Others,144.7851531,-20.7722295
Perth,18,Others,115.861309,-31.9523123
South West Coast VIC,0,Others,142.4834794,-38.3841804
Sunshine Coast,0,Others,153.066667,-26.65
Sydney,76,Others,151.2092955,-33.8688197
